Job Title,Company,Salary,Experience,Location,Skills,Source
Senior UI/UX Designer (Edtech),DOL English,Thỏa thuận,N/A,Ho Chi Minh,"UI-UX, Design Systems, Adobe XD, Product Design, Figma",ITViec
"Mid/Sr Mobile Apps Android Engineer (Java, Kotlin)",Floating Cube Studios,Thỏa thuận,N/A,Ho Chi Minh,"Android, Java, Flutter, Mobile Apps, Kotlin",ITViec
Technical Lead/Technical Architect,Droppii,Thỏa thuận,N/A,Ho Chi Minh,"Leadership, Microservices Architecture, NodeJS, Python",ITViec
"IT Support Helpdesk (Ms365, LAN/WAN, English required)",FOUR HANDS,Thỏa thuận,N/A,Ho Chi Minh,"IT Support, Cloud, Security, English, Microsoft Dynamics 365",ITViec
Mobile Technical Lead,TymeX,Thỏa thuận,N/A,Ho Chi Minh,"Mobile Apps, English, Kotlin, Swift, Android, iOS",ITViec
"Software Developer (.Net, Java) - Speaking Japanese",ISV Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Java, C#, .NET",ITViec
3D Environment Artist (Game / VR),CurlyBlue,Thỏa thuận,N/A,Ho Chi Minh,"Design, Unity, 3ds Max, Maya, Blender, Games",ITViec
3D Artist (Game / VR),CurlyBlue,Thỏa thuận,N/A,Ho Chi Minh,"Games, Unity, 3ds Max, Blender",ITViec
Java Developer (Senior/Middle),VNGGames,Thỏa thuận,N/A,Ho Chi Minh,"Spring, Spring Boot, API, MySQL, CI/CD, Kafka",ITViec
Scrum Master/ Scrum Coach,One Mount Group,Thỏa thuận,N/A,Ho Chi Minh,"Scrum, Agile, Less, Jira, Project Management",ITViec
Senior Automation Tester,Capgemini Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Automation Test, Java",ITViec
Senior/ Principal Android Engineer (Kotlin),"ANDPAD VietNam Co., Ltd",Thỏa thuận,N/A,Ho Chi Minh,"Android, MVVM, Clean Architecture, Kotlin, AWS, English",ITViec
Senior Engineer - Front End,what3words,Thỏa thuận,N/A,Ho Chi Minh,"TypeScript, ReactJS, NextJS, English",ITViec
Senior/Principal iOS Native Engineer (Swift),"ANDPAD VietNam Co., Ltd",Thỏa thuận,N/A,Ho Chi Minh,"iOS, MVVM, Clean Architecture, Swift, English, AWS",ITViec
Staff Engineer - Backend,what3words,Thỏa thuận,N/A,Ho Chi Minh,"Java, LLM, FastAPI, Python",ITViec
QC Engineers (Manual Tester - Junior/Middle Level),bbv Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"QA QC, Tester, SQL",ITViec
"Mid/Senior Backend/Fullstack Java Engineer (Spring, AI)",Seven System Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Java, MQTT, Kafka, Spring, AI, PostgreSql",ITViec
Game Server Developer (C++),Công ty TNHH Công Nghệ Tamron Việt Nam,Thỏa thuận,N/A,Ho Chi Minh,"C++, MySQL, Windows Server, Games, C language, SQL",ITViec
CV Tư Vấn Giải Pháp/ Business Analyst (Banking/Fintech),SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,"Business Analysis, API, Java, Microservices, Cloud, .NET",ITViec
"Senior Fullstack Engineer (Angular, .NET)",S4BT Solutions for Business Travel.,Thỏa thuận,N/A,Ho Chi Minh,"Fullstack, HTML, Angular, C#, .NET, SQL",ITViec
UI/UX Designer (Senior),The One Digi Corp,Thỏa thuận,N/A,Ho Chi Minh,"Design, Visual Design, Illustrator, Design Systems, Figma",ITViec
Global Microsoft Endpoint Engineer,Renesas Design Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"English, IT Support",ITViec
Mid/Senior IT Business Analyst (BA),Ahasoft,Thỏa thuận,N/A,Ho Chi Minh,"Business Analysis, Stakeholder management, Figma, BRD",ITViec
Engineering Director (Open for Expat),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"Project Management, Team Management, English",ITViec
"Senior .Net Developer(C#, ASP.NET Core, Azure)",Ahasoft,Thỏa thuận,N/A,Ho Chi Minh,".NET, AI, VueJS, C#, Azure, ASP.NET",ITViec
Java Software Engineer,Home Credit Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Java, Spring Boot",ITViec
