Job Title,Company,Salary,Skills,Location
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.",Thỏa thuận,"Java, Unit test, Spring Boot, Spring, SQL, English",Ho Chi Minh
"AI Developer (Python, C#, Git, JavaScript, Azure)",SAVILLS VIETNAM,You'll love it,"AI, Azure, JavaScript, Git, C#, Python",Ho Chi Minh
"Senior Fullstack Developer (ReactJS, NodeJS)",Template.net,You'll love it,"JavaScript, Product Management, Generative AI, NodeJS",Ho Chi Minh
Senior Machine Learning Engineer (Open for Team Lead),Home Credit Vietnam,You'll love it,"Machine Learning, English, NLP, LLM, Python",Ho Chi Minh
"Junior Power Platform Dev(UI/UX, .NET)(Strong English)",Wilmar CLV (Cambodia Laos Vietnam),You'll love it,"UI-UX, HTML, JavaScript, ASP.NET, C#, .NET",Ho Chi Minh
".NET Developer (C#, ASP.NET,...)(strong English)",Wilmar CLV (Cambodia Laos Vietnam),You'll love it,".NET, API, SQL, MVC, ASP.NET, C#",Ho Chi Minh
Technical Project Manager (English),Terralogic,Thỏa thuận,"Team Management, Stakeholder management, Product Management",Ho Chi Minh
Senior Backend Engineer (Nodejs),FireGroup,You'll love it,"NodeJS, Redis, MongoDB, PostgreSql, MySQL, OOP",Ho Chi Minh
Senior Golang Developer,CÔNG TY TNHH FINAN,You'll love it,"Golang, Redis, PostgreSql, Microservices, Kubernetes",Ho Chi Minh
Senior QA/QC Engineer,CÔNG TY TNHH FINAN,You'll love it,"QA QC, Selenium, Python, Java, Postman",Ho Chi Minh
Data Engineer (Middle),CÔNG TY TNHH FINAN,You'll love it,"Python, MongoDB, PostgreSql, AI, SQL",Ho Chi Minh
Senior Java AI Backend Engineer (English),HRS Group,Thỏa thuận,"Java, English, AWS, Python, AI",Ho Chi Minh
"(Senior) Mobile Developer (iOS, Android)",GFT Technologies Vietnam,You'll love it,"iOS, Java, Swift, Kotlin, Android, English",Ho Chi Minh
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"MONEY FORWARD VIETNAM CO.,LTD",You'll love it,"Golang, Python, TypeScript, Kotlin, Java",Ho Chi Minh
"Software Engineer II (C#, dotnet,Java)",Motorola Solutions,You'll love it,,Ho Chi Minh
Project Manager,MOR,Thỏa thuận,,Ho Chi Minh
Frontend Engineer,Vulcan Labs,You'll love it,,Ho Chi Minh
"Senior iOS Engineer (Swift, MVVM, MVC)",EPAM Vietnam,You'll love it,,Ho Chi Minh
"Senior Java Engineer (Spring Boot, Microservices, SQL)",EPAM Vietnam,You'll love it,,Ho Chi Minh
[HCM] Salesforce Developer (All level) | Up to 55M VND,Hybrid Technologies,Thỏa thuận,,Ho Chi Minh
"Mobile App Developer (.NET, Xamarin, iOS/Android, AI)",Song Technologies LLC,You'll love it,,Ho Chi Minh
Technical Architect,HSC,You'll love it,,Ho Chi Minh
"Manual QA Engineer/Tester (QA QC, English, Insurance)",FWD VTC,You'll love it,,Ho Chi Minh
Software Project Manager – Japanese OR Chinese Speaking,Bosch Global Software Technologies Company Limited,You'll love it,,Ho Chi Minh
"R&D System Engineer (VMware, Docker, Kubernetes)",GLOBALTECH,You'll love it,,Ho Chi Minh
