Job Title,Company,Salary,Experience,City,Skills
Thiết Kế Đồ Họa/ Graphic Designer (Team Thiết Kế Ngành Wedding & Event) Lương Upto 18 Triệu,CTY TNHH JW WEDDING & EVENT ACADEMY VIỆT NAM,18 Triệu,2 năm,Hồ Chí Minh (mới),Thiết kế...
Chuyên Viên Phân Tích Nghiệp Vụ/Business Analyst (BA) - Hà Nội - Thử Việc Full Lương - Ưu Tiên Đi Làm Ngay,CÔNG TY TNHH NEWEZ VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,Ng...
Kỹ Sư Phát Triển Phần Mềm (Android Và Set-Top Box),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh ..., IT - Phần mềm"
"Project Manager [Hà Nội] - Good At English, Atleast 3 Years Experienced",CÔNG TY CỔ PHẦN POWERGATE SOFTWARE,Thỏa thuận,3 năm,Hà Nội,
Senior QA Engineer,CÔNG TY TNHH ALCHEMY TECHNOLOGIES,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"QA Engineer, IT - Phần mềm"
AI Engineer (Agentic System/R&D LLM/NLP Computer Vision)_Robotics IoT - 2 Năm KN Production,"STEP UP EDUCATION.,JSC",Thỏa thuận,2 năm,Hà Nội,"AI Engineer, IT - Phần mềm"
Business Analyst 2 Năm Kinh Nghiệm,CÔNG TY CỔ PHẦN EVERFLOW,Thỏa thuận,2 năm,Hà Nội,Ng...
Nhân Viên Thiết Kế - Ngành POD,CÔNG TY TNHH VIKCOM,Thỏa thuận,Không yêu cầu,Thỏa thuận,Thương m...
Fullstack Developer Tại Hà Nội (Lương: 10 Triệu - 14 Triệu),CÔNG TY TNHH DASVISION,10 Triệu,1 năm,Hà Nội,"Nghỉ thứ..., IT - Phần mềm"
Trưởng Ca/Giám Sát Vận Hành Hệ Thống Kỹ Thuật ( Điện/Công Nghệ Thông Tin) - Thu Nhập Cạnh Tranh,CÔNG TY CỔ PHẦN PHÁT TRIỂN TRẠM SẠC TOÀN CẦU V-GREEN,Thỏa thuận,3 năm,Hà Nội & Hồ Chí Minh (mới),
Nhân Viên Triển Khai Bản Vẽ 2D (Full Time) - Trên Toàn Quốc (Trừ Huế Và Đà Nẵng),CÔNG TY TNHH CUBICASA VIỆT NAM - CHI NHÁNH THỪA THIÊN HUẾ,Thỏa thuận,Không yêu cầu,Hà Nội & 31 nơi khác,Không yê...
Nhà Khoa Học Dữ Liệu (Data Scientist),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"Data Scientist, Nghỉ thứ 7"
Nhân Viên Kinh Doanh Phần Mềm (Thu Nhập 15-30Tr/Tháng - Không Yêu Cầu Kinh Nghiệm),CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,15 - 30 Triệu,Không yêu cầu,Hồ Chí Minh (mới) & 18 nơi khác,"Telesales, Direct Sales"
Kiểm Thử Mobile Apps & Website - Tester (QA/QC),CÔNG TY CỔ PHẦN TOH GROUP,Thỏa thuận,1 năm,Hà Nội,IT ...
Kỹ Sư Công Nghệ Thông Tin - 1 Năm Kinh Nghiệm - Thu Nhập 18 - 30 Triệu - Tại Hà Nội,CÔNG TY TNHH CÔNG NGHỆ NGUYÊN LỘC,18 - 30 Triệu,1 năm,Hà Nội,"Viễn thô..., Kỹ thuật IT, Xây dựng, IT - Phần mềm"
Thực Tập Sinh Thiết Kế,CÔNG TY TNHH ĐẦU TƯ & PHÁT TRIỂN APG,Thỏa thuận,Không yêu cầu,Thỏa thuận,Thiết kế...
Backend Engineer,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Thỏa thuận,3 năm,Hà Nội,"3 năm kinh..., IT - Phần mềm"
Lâp Trình Viên/ Software Engineer/ IT,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN NGỌC DIỆP,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Không yêu ..., IT - Phần mềm"
Kỹ Sư/Chuyên Viên Phần Mềm Nhúng,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh..., IT - Phần mềm"
Kỹ Sư Tự Động Hóa Quy Trình AI (Senior),CÔNG TY TNHH FOTOBER MEDIA,Thỏa thuận,3 năm,Hà Nội,"AI Engineer, IT - Phần mềm"
ECommerce Business Data Analyst,BSS GROUP,Thỏa thuận,3 năm,Hà Nội,"Data Analyst, IT - Phần mềm"
Presales Engineer / Kỹ Sư Giải Pháp CNTT,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG,Thỏa thuận,1 năm,Hà Nội,
IT System Engineer/ Kỹ Sư IT (Level 3),CÔNG TY TNHH DESIGNLIVE,Thỏa thuận,4 năm,Hồ Chí Minh (mới),IT - Phần mềm
Product Specialist,CÔNG TY CỔ PHẦN TOPCV VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ ..., Nhân sự"
UX/UI Designer (Products Lab / Startup Studio),CÔNG TY TNHH OS RESEARCH,Thỏa thuận,5 năm,Hồ Chí Minh (mới),"IT - Phần mềm, Nghỉ thứ 7, Tiếng..., UI/UX Design"
Chuyên Viên Kinh Doanh Tư Vấn Phần Mềm - Hộ Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ KIOTVIET,Thỏa thuận,Dưới 1 năm,Hà Nội & 11 nơi khác,"Telesales, Direct Sales"
Designer Cum Tiktoker Creative (Salary 12 - 20M),CÔNG TY TNHH SAIGON VENUS,12 - 20 Triệu,1 năm,Hồ Chí Minh (mới),1 năm ki...
Nhân Viên Tư Vấn/Kinh Doanh Ngành Game Làm Việc Tại Văn Phòng,CÔNG TY CỔ PHẦN SMARTSCALE,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"B2C, D..., Game, IT - Phần mềm"
Bridge Engineer (Tiếng Nhật N2 Trở Lên)-Nghỉ T7 CN,CÔNG TY TNHH FLINTERS VIỆT NAM,2 Triệu,3 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
